WELL_STRING,TEST_TYPE,DATE_STAMP,END_TIME,DURATION,SEPARATOR_TYPE,LIQUID_VOL_BBL,BSW,TOTAL_GAS_VOL_FT3,TEST_WATER_VOL,GL_DUAL_INDICATOR,GL_VOL_FT3,GL_INJ_TEMP_DEG_C,GL_INJ_PRESS_BAR,GAS_RATE_FROM_ORIFICE_FT3D,WHP_BARG,WHT_DEG_C,CHOKE_SIZE_64,CHOKE_ADJUSTABLE,SEPARATOR_PRESS_BARG,SEPARATOR_TEMPERATURE_DEG_C,OIL_GRAVITY_WTR,GAS_GRAVITY_AIR,WELL_FL_PRESS_BARG,WELL_FL_TEMP_DEG_C,CALC_BSW,CALC_GL_RATE_FT3D,CALC_OIL_RATE_BBLD,CALC_WTR_RATE_BBLD,CALC_GAS_RES_RATE_SCFD,SHRINKAGE_FACTOR,CORR_OIL_RATE_STBD,CORR_GAS_RES_RATE_MMSCFD,CORR_WTR_RATE_STBD,CORR_GL_RATE_MMSCFD,GTS_UPSTREAM_PRESS,WTR_SALINITY_PPM,TEST_STATUS,TEST_CODE,REMARKS,TRUNKLINE_PRESS_BAR,TEMP_FACTOR,INJ_PRESS,PGOR_MSCF_PER_BBL,WGR_BBL_PER_MMSCF,CGR_BBL_PER_MMSCF,LIQUID_TYPE,SAND_RATE,OPEN_ZONES,API_OIL,VALIDITY,WELL_NAME,PIS_DATE,NORM_PROD_DAYS,N_OPEN_RESERVOIR,TOTAL_THICKNESS,TOP_OPEN_PERF_DEPTH,Universal,Logging,Completion,weighted_avg_vsh,weighted_avg_phi,weighted_avg_sw,sum_thickness,D_THICKNESS,EVENT,LIQ_RATE,GLR,HP/LP,LAST_EVENT
B-G-1.G1:S1,REFERENCE TEST,2023-01-28 09:30:00,2023-01-28 14:30:00,5,2 PHASE,,14.3,2016142.96800001,0,NO,0.0,,,0,18.8,66.0,137.0,0,,55.0,0.865,0.7,16.5,,14.3,0.0,617.04,,9677486.24640003,0.951172604921,586.911544154275,9.70707917892732,115.370159022343,,0,,SEPARATOR,COMMINGLE,"Prod test on HP Mode using 6"" gas outlet and 2"" liquid counter",,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,2.395833333335759,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,732.410159022343,13213.205916365241,1.0,2.0
B-G-1.G1:S1,REFERENCE TEST,2023-02-07 10:00:00,2023-02-07 15:00:00,5,2 PHASE,,2.4,1837106.81000002,0,NO,0.0,0.0,0.0,0,16.8,64.7,137.0,0,14.0,27.5,0.865,0.7,14.5,,2.4,0.0,433.344,,8818112.68800008,0.974791303206,422.419962491438,8.83918491728102,13.8673809883494,,0,0.0,SEPARATOR,COMMINGLE,"Prod test on HP Mode using 6"" gas outlet and 2"" liquid counter",,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,12.41666666666424,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,447.2113809883494,19717.997043169627,1.0,12.0
B-G-1.G1:S1,REFERENCE TEST,2023-02-20 09:30:00,2023-02-20 14:30:00,5,2 PHASE,,0.0,1184041.18,0,NO,0.0,0.0,0.0,0,21.2,66.2,137.0,0,19.0,54.6,0.865,0.7,19.5,,0.0,0.0,412.8,,5683397.664,0.947710270086,391.214799500444,5.70699457370347,6.23193168563149,,0,0.0,SEPARATOR,COMMINGLE,Commingle test BG-01 and BG-14 on HP Mode,,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,25.39583333333576,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,419.0319316856315,13563.161263480586,1.0,25.0
B-G-1.G1:S1,REFERENCE TEST,2023-03-09 12:00:00,2023-03-09 15:00:00,3,2 PHASE,,0.0,726701.110000018,0,NO,0.0,,,0,17.4,64.6,137.0,0,16.0,59.0,0.865,0.7,16.5,,0.0,0.0,302.4,,5813608.88000014,0.948086528991,286.701366366917,5.82780601225323,8.92000779576105,,0,0.0,SEPARATOR,COMMINGLE,0,,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,42.5,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,311.320007795761,18674.061205260252,0.0,42.0
B-G-1.G1:S1,REFERENCE TEST,2023-03-17 10:00:00,2023-03-17 13:00:00,3,2 PHASE,,15.0,660012.72,0,NO,0.0,,,0,16.8,63.4,137.0,0,15.0,46.0,0.865,0.7,15.5,,15.0,0.0,250.24,,5280101.76,0.959356644112,240.069406622655,5.29190867494774,48.8428473984086,,0,0.0,SEPARATOR,COMMINGLE,0,,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,50.41666666666424,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,299.0828473984086,17654.31152581736,0.0,50.0
B-G-1.G1:S1,REFERENCE TEST,2023-04-02 12:00:00,2023-04-02 16:00:00,4,2 PHASE,,20.6,660457.74,0,NO,0.0,,,0,14.8,62.7,137.0,0,14.0,55.0,0.865,0.7,14.4,,20.6,0.0,251.0628,,3962746.44,0.953620529171,239.418640194751,3.97329448243223,70.7928873695635,,0,0.0,SEPARATOR,COMMINGLE,0,,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,66.5,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,321.8556873695635,12312.183986514012,0.0,66.0
B-G-1.G1:S1,REFERENCE TEST,2023-04-29 09:30:00,2023-04-29 14:30:00,5,2 PHASE,,33.3,332713.22,0,NO,0.0,0.0,0.0,0,18.7,60.2,137.0,0,18.4,48.4,0.8652,0.7,18.4,,33.3,0.0,102.4512,,1597023.456,0.953218370796,97.6583659523937,1.60286934319386,52.4976539300938,,0,0.0,SEPARATOR,TEST,Prod test on HP,,,,,,,OIL,,,32.05,,B-G-1.G1,2023-01-26,93.39583333333576,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,154.9488539300938,10306.778110927544,1.0,93.0
B-G-1.G1:S1,REFERENCE TEST,2023-05-11 09:30:00,2023-05-11 15:30:00,6,2 PHASE,,65.0,389889.115000009,0,NO,0.0,0.0,0.0,0,17.5,58.7,137.0,0,16.8,48.0,0.8652,0.7,17.0,,65.0,0.0,27.3,,1559556.46000004,0.95558340802,26.0874270389522,1.56098053651801,52.0901891790036,,0,0.0,SEPARATOR,TEST,"Prod test on HP, single prod test, BG-14 S/I",,,,,,,OIL,,,32.05,,B-G-1.G1,2023-01-26,105.3958333333358,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,79.3901891790036,19644.19629336892,1.0,105.0
B-G-1.G1:S1,REFERENCE TEST,2023-05-13 10:00:00,2023-05-13 16:00:00,6,2 PHASE,,52.2,442932.410000018,0,NO,0.0,,,0,16.0,58.0,137.0,0,15.0,44.0,0.865,0.7,14.4,,52.2,0.0,149.136,,1771729.64000007,0.960894002844,143.303888008149,1.7788414495399,164.29048305776,,0,0.0,SEPARATOR,COMMINGLE,0,,,,,,,OIL,,,32.08,,B-G-1.G1,2023-01-26,107.4166666666642,4.0,7.400000000000546,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,35.057455405405825,11.727022972972756,28.129271621622152,7.400000000000546,0.0,0,313.42648305776004,5652.775804760459,0.0,107.0
B-G-1.G1:S1,REFERENCE TEST,2023-05-29 10:00:00,2023-05-29 14:00:00,4,2 PHASE,,70.0,316174.580000035,0,NO,4.476534077837,28.0,60.0,0,17.0,40.0,137.0,0,16.0,30.0,0.8652,0.7,16.5,,70.0,948523.740000106,6.66,,948523.740000106,0.970257857877,6.46191733327127,0.000363959381993407,15.5399999995471,0.948159780590391,0,0.0,SEPARATOR,TEST,"Prod test on HP, single prod test, BG-14 S/I;Qg Res set to zero because Qg Total (948523.74 scfd) < Qg gas lift (1085027.1 scfd)",,,,,,,OIL,,,32.05,,B-G-1.G1,2023-01-26,123.4166666666642,11.0,16.50000000000045,2435.2,B-G-1,B-G-1.G1,B-G-1.G1,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,8.599999999999909,1,22.1999999995471,42726.29459547103,1.0,0.0
